User_ID,App,Daily_Minutes_Spent,Posts_Per_Day,Likes_Per_Day,Follows_Per_Day
U_1,Pinterest,288,16,94,0
U_2,Facebook,192,14,117,15
U_3,Instagram,351,13,120,48
U_4,TikTok,21,20,117,8
U_5,LinkedIn,241,16,9,21
U_6,Twitter,464,3,137,30
U_7,LinkedIn,229,1,188,25
U_8,LinkedIn,8,19,179,48
U_9,TikTok,80,7,14,25
U_10,Snapchat,428,6,4,41
U_11,Snapchat,52,18,124,26
U_12,Facebook,314,18,132,28
U_13,LinkedIn,26,17,198,18
U_14,Instagram,427,0,110,19
U_15,Facebook,434,2,111,16
U_16,Twitter,494,10,93,49
U_17,Snapchat,32,2,81,8
U_18,Snapchat,104,19,3,49
U_19,LinkedIn,431,7,14,38
U_20,Snapchat,347,16,187,21
U_21,LinkedIn,52,19,51,33
U_22,Facebook,100,19,42,9
U_23,Pinterest,214,9,122,16
U_24,Facebook,221,15,127,22
U_25,Instagram,280,13,42,15
U_26,LinkedIn,355,0,128,38
U_27,Twitter,188,3,5,15
U_28,TikTok,77,2,192,13
U_29,Twitter,337,18,21,44
U_30,TikTok,199,5,186,40
U_31,TikTok,321,4,136,18
U_32,Twitter,119,17,97,3
U_33,TikTok,396,10,37,36
U_34,Pinterest,112,8,82,21
U_35,Snapchat,63,0,86,44
U_36,Twitter,108,0,163,40
U_37,TikTok,252,3,6,39
U_38,LinkedIn,233,15,197,25
U_39,Pinterest,180,20,127,3
U_40,Twitter,289,20,131,14
U_41,Facebook,75,10,19,38
U_42,Twitter,51,10,21,9
U_43,Facebook,187,20,146,20
U_44,LinkedIn,215,10,157,31
U_45,Facebook,202,1,64,12
U_46,Pinterest,206,11,150,1
U_47,Pinterest,295,1,47,23
U_48,Pinterest,43,19,16,38
U_49,LinkedIn,5,7,38,40
U_50,LinkedIn,167,10,33,27
U_51,Facebook,78,9,166,22
U_52,Pinterest,319,19,170,21
U_53,Pinterest,172,2,151,44
U_54,Snapchat,485,13,40,24
U_55,Snapchat,402,14,41,40
U_56,Twitter,215,1,120,10
U_57,Facebook,104,20,46,27
U_58,LinkedIn,363,7,194,24
U_59,Facebook,312,9,96,15
U_60,TikTok,39,14,80,32
U_61,LinkedIn,260,10,159,19
U_62,LinkedIn,379,17,48,44
U_63,Facebook,208,15,92,9
U_64,Pinterest,341,13,4,41
U_65,Snapchat,28,9,53,15
U_66,Instagram,407,13,192,18
U_67,Facebook,498,16,176,18
U_68,TikTok,21,6,38,43
U_69,TikTok,474,8,112,7
U_70,Instagram,36,20,134,43
U_71,Twitter,461,20,156,6
U_72,Pinterest,178,18,135,5
U_73,Snapchat,361,18,190,48
U_74,Pinterest,24,15,31,3
U_75,Snapchat,149,4,153,15
U_76,Snapchat,250,11,200,13
U_77,Instagram,251,19,67,47
U_78,TikTok,153,7,107,4
U_79,Instagram,394,17,23,7
U_80,LinkedIn,344,1,125,10
U_81,Instagram,454,10,112,39
U_82,Instagram,59,8,96,9
U_83,Instagram,289,19,15,33
U_84,Facebook,497,4,17,19
U_85,Twitter,450,18,142,44
U_86,Twitter,74,20,197,12
U_87,Facebook,492,17,116,45
U_88,Snapchat,156,18,3,14
U_89,Twitter,335,10,33,25
U_90,Pinterest,114,11,60,39
U_91,Snapchat,31,8,143,21
U_92,Pinterest,316,12,117,2
U_93,TikTok,189,19,111,25
U_94,Snapchat,106,20,144,42
U_95,Pinterest,227,3,53,13
U_96,Pinterest,267,17,192,35
U_97,Twitter,36,13,132,16
U_98,Snapchat,9,14,117,48
U_99,Pinterest,122,1,146,40
U_100,Instagram,479,16,61,6
U_648,Snapchat,204,5,79,23
U_649,Instagram,167,14,72,9
U_650,Twitter,142,19,121,10
U_651,Facebook,476,15,126,20
U_652,Facebook,462,4,159,47
U_653,Facebook,315,3,37,11
U_654,TikTok,161,14,85,20
U_655,Twitter,384,7,63,32
U_656,Pinterest,59,9,22,3
U_657,LinkedIn,318,3,132,22
U_658,Twitter,90,9,132,25
U_659,Instagram,52,7,156,41
U_660,TikTok,159,15,58,30
U_661,Facebook,424,9,97,12
U_662,Pinterest,405,15,147,25
U_663,LinkedIn,227,8,40,10
U_664,LinkedIn,212,17,85,6
U_665,LinkedIn,44,13,53,5
U_666,TikTok,435,20,37,34
U_667,Instagram,67,2,114,34
U_668,LinkedIn,412,10,185,43
U_669,Instagram,76,12,108,47
U_670,Twitter,192,11,44,34
U_671,LinkedIn,186,16,190,21
U_672,TikTok,299,1,120,17
U_673,Facebook,52,12,191,11
U_674,Snapchat,383,16,101,1
U_675,Facebook,486,7,192,9
U_676,LinkedIn,243,18,165,0
U_677,Pinterest,491,9,49,42
U_678,Snapchat,395,6,87,33
U_679,LinkedIn,127,18,19,24
U_680,Instagram,67,6,9,50
U_681,Pinterest,337,7,132,11
U_682,Pinterest,305,10,139,47
U_683,TikTok,383,16,160,50
U_684,Instagram,481,6,61,49
U_685,Facebook,451,16,120,43
U_686,Snapchat,160,20,182,17
U_687,TikTok,8,15,139,0
U_688,Pinterest,179,18,33,1
U_689,Instagram,139,3,55,45
U_690,Twitter,317,19,138,35
U_691,Instagram,98,19,82,48
U_692,LinkedIn,233,0,173,16
U_693,Pinterest,435,6,128,23
U_694,Twitter,453,2,78,39
U_695,LinkedIn,176,13,88,3
U_696,Pinterest,374,8,124,20
U_697,Facebook,253,2,71,32
U_698,LinkedIn,179,12,12,49
U_699,Facebook,154,15,158,37
U_700,TikTok,281,8,43,17
U_701,Snapchat,251,2,104,17
U_702,Twitter,89,3,123,48
U_703,LinkedIn,436,10,115,22
U_704,Facebook,75,2,98,6
U_705,Instagram,161,14,133,30
U_706,Pinterest,67,17,61,32
U_707,Pinterest,18,16,37,41
U_708,Twitter,442,4,78,1
U_709,Pinterest,306,19,65,9
U_710,Pinterest,401,13,38,21
U_711,Twitter,331,10,154,9
U_712,TikTok,126,0,26,36
U_713,Instagram,288,3,110,8
U_714,LinkedIn,188,10,142,1
U_715,LinkedIn,338,12,192,46
U_716,Pinterest,466,19,142,43
U_717,Instagram,26,7,179,11
U_718,Pinterest,313,4,20,22
U_719,TikTok,39,5,184,2
U_720,Snapchat,14,20,98,33
U_721,Snapchat,317,4,37,29
U_722,Instagram,213,15,25,26
U_723,LinkedIn,417,12,191,9
U_724,Facebook,222,6,132,47
U_725,Snapchat,186,8,96,1
U_726,Instagram,313,8,195,40
U_727,Snapchat,447,9,48,46
U_728,TikTok,5,4,70,45
U_729,Twitter,391,10,21,39
U_730,Instagram,242,3,111,39
U_731,Twitter,487,8,14,14
U_732,Facebook,490,12,106,17
U_733,Pinterest,27,17,139,13
U_734,TikTok,391,15,67,36
